,PLAT,NET,NAME,REPTYPE,LAT,LON,CLIMATE SUMMARY,AVAILABILITY,STATION OPS,OP MODE,TYPE,MOVING
0,RKSG,ICAO,A 511 / DESIDERIO AAF-PYEONGTAEK / CAMP HUMPHREYS ROK,METAR,36.9666666,127.03333329999998,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUGMENTED,SFC_OBS,1
1,LECO,ICAO,A CORUNA,METAR,43.302061,-8.377256,UNAVAILABLE,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
2,KOCH,ICAO,A L MANGHAM JR RGNL,METAR,31.578028000000003,-94.709542,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
3,EHAK,ICAO,A12-CPP HELIPAD OIL PLATFORM,METAR,55.4166666,3.8166666,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
4,EKAH,ICAO,AARHUS,METAR,56.300017,10.619008,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
5,OIAA,ICAO,ABADAN,METAR,30.371111,48.228333,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
6,OISA,ICAO,ABADEH,METAR,31.1833333,52.6666667,LIMCLIM,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
7,UNAA,ICAO,ABAKAN,METAR,53.74,91.385,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
8,CYXX,ICAO,ABBOTSFORD,METAR,49.025278,-122.363333,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
9,FTTC,ICAO,ABECHE,METAR,13.847,20.844333,LEGACY_OCDS,DATA INCOMPLETE,PART TIME,UNKNOWN,SFC_OBS,1
10,MUSC,ICAO,ABEL SANTAMARIA,METAR,22.492192000000003,-79.943611,UNAVAILABLE,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
11,KABR,ICAO,ABERDEEN RGNL,METAR,45.449056,-98.421833,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
12,KGZS,ICAO,ABERNATHY FLD,METAR,35.153708,-87.056825,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
13,OEAB,ICAO,ABHA,METAR,18.240367000000003,42.656625,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
14,DIAP,ICAO,ABIDJAN FELIX HOUPHOUET BOIGNY INTL,METAR,5.261386,-3.926294,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
15,KABI,ICAO,ABILENE RGNL,METAR,32.411319,-99.681897,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
16,MMCS,ICAO,ABRAHAM GONZALEZ INTL,METAR,31.636133,-106.428667,LEGACY_OCDS,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
17,KSPI,ICAO,ABRAHAM LINCOLN CAPITAL,METAR,39.8441,-89.67788900000001,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
18,OMAA,ICAO,ABU DHABI INTL,METAR,24.432972,54.651138,JMCLIM,DATA LIMITED,FULL TIME,UNKNOWN,SFC_OBS,1
19,HEBL,ICAO,ABU SIMBEL,METAR,22.375953,31.611722,LIMCLIM,DATA LIMITED,FULL TIME,UNKNOWN,SFC_OBS,1
20,OIBA,ICAO,ABUMUSA ISLAND,METAR,25.875742,55.032994,JMCLIM,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
21,KARA,ICAO,ACADIANA RGNL,METAR,30.037758,-91.883896,UNAVAILABLE,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
22,MSAC,ICAO,ACAJUTLA/SONSONATE,METAR,13.5666667,-89.83333329999999,LEGACY_OCDS,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
23,KMFV,ICAO,ACCOMACK CO,METAR,37.646889,-75.76105600000001,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
24,SCMK,ICAO,AD MELINKA,METAR,-43.89389,-73.739723,UNAVAILABLE,NEW SITE,PART TIME,UNKNOWN,SFC_OBS,1
25,KADH,ICAO,ADA MUNI,METAR,34.804342,-96.671278,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
26,PADK,ICAO,ADAK,METAR,51.877964,-176.646031,JMCLIM,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
27,KLIT,ICAO,ADAMS FLD,METAR,34.729444,-92.224306,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
28,LTAF,ICAO,ADANA,METAR,36.982166,35.280388,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
29,KEKX,ICAO,ADDINGTON FLD,METAR,37.686,-85.925028,UNAVAILABLE,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
30,KADS,ICAO,ADDISON,METAR,32.968558,-96.836447,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
31,YPAD,ICAO,ADELAIDE INTL,METAR,-34.945,138.53055600000002,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
32,KSLK,ICAO,ADIRONDACK RGNL,METAR,44.385311,-74.206186,LEGACY_OCDS,DATA AVAILABLE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
33,WAHQ,ICAO,ADISUMARMO INTL,METAR,-7.5,110.75,LEGACY_OCDS,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
34,LTBJ,ICAO,ADNAN MENDERES,METAR,38.292392,27.156953,JMCLIM,DATA AVAILABLE,FULL TIME,UNKNOWN,SFC_OBS,1
35,LIMA,ICAO,AERITALIA-TORINO,METAR,45.086353,7.603375,UNAVAILABLE,DATA LIMITED,PART TIME,UNKNOWN,SFC_OBS,1
36,K12N,ICAO,AEROFLEX ANDOVER,METAR,41.008621000000005,-74.738037,LEGACY_OCDS,DATA INCOMPLETE,FULL TIME,PRIMARY AUTO,SFC_OBS,1
